":@computed_region_bh64_c7uy",":@computed_region_wvic_k925","adre_a","cerca","codi_postal","comarca","correu_electr_nic","geocoded_column","geocoded_column_address","geocoded_column_city","geocoded_column_state","geocoded_column_zip","latitud","longitud","nom_del_centre","poblaci","tel_fon","tipus_de_via","titularitat"
"230","37","de Sant Francesc, 3","Tarragonès","43003","Tarragonès","icd.tarragona@gencat.cat","POINT (1.253299 41.116657)",,,,,"41.116657","1.253299","Oficina d'informació de l'Institut Català de les Dones a Tarragona","Tarragona","977241304","Carrer","Generalitat de Catalunya"
"875","21","dels Fanalets de Sant Jaume, s/n","Segrià","25002","Segrià","politiquesigualtat@paeria.cat","POINT (0.62376 41.61399)",,,,,"41.61399","0.62376","Servei d'informació i atenció a les dones (SIAD) de Lleida","Lleida","973700461","Plaça","Ajuntament de Lleida"
"862","26","Nou de Sant Pere, 36","Vallès Occidental","08221","Vallès Occidental","polgenere@terrassa.cat","POINT (2.01374 41.56537)",,,,,"41.56537","2.01374","Servei d'informació i atenció a les dones (SIAD) de Terrassa","Terrassa","937397408","Carrer","Ajuntament de Terrassa"
"160","37","de l'Ebre, 11","Tarragonès","43840","Tarragonès","siadones@salou.cat","POINT (1.13316 41.08105)",,,,,"41.08105","1.13316","Servei d'informació i atenció a les dones (SIAD) de Salou","Salou","977309206","Carrer","Ajuntament de Salou"
"133","14","Joan Reglà, 16, baixos","Gironès","17003","Gironès","siad@ajgirona.org","POINT (2.8229 41.97125)",,,,,"41.97125","2.8229","Servei d'informació i atenció a les dones (SIAD) de Girona","Girona","972222478","Carrer","Ajuntament de Girona"
"701","25","Tres Roques, 21","Maresme","08304","Maresme","dona@ajmataro.cat","POINT (2.42807 41.54332)",,,,,"41.54332","2.42807","Servei d'informació i atenció a les dones (SIAD) de Mataró","Mataró","937022812","Carrer","Ajuntament de Mataró"
"512","29","Arenys, 75","Barcelonès","08035","Barcelonès","piad_horta@bcn.cat","POINT (2.14464 41.42253)",,,,,"41.42253","2.14464","Servei d'informació i atenció a les dones (SIAD) de Barcelona - Horta-Guinardó","Barcelona","934200008","Carrer","Ajuntament de Barcelona"
"669","31","Lluís Companys, 1","Baix Llobregat","08980","Baix Llobregat","castellotecr@santfeliu.cat","POINT (2.05612 41.37066)",,,,,"41.37066","2.05612","Servei d'informació i atenció a les dones (SIAD) de Sant Feliu de Llobregat","Sant Feliu de Llobregat","936858002","Plaça","Ajuntament de Sant Feliu de Llobregat"
"334","2","del Mig, 9","Pallars Sobirà","25560","Pallars Sobirà","siad@pallarssobira.cat","POINT (1.13031 42.41179)",,,,,"42.41179","1.13031","Servei d'informació i atenció a les dones (SIAD) del Pallars Sobirà","Sort","973620107","Carrer","Consell Comarcal del Pallars Sobirà"
"528","25","Joan XXIII, 2-8 (antiga Fàbrica del Gas)","Maresme","08330","Maresme","servaispe@premiademar.cat","POINT (2.35276 41.48842)",,,,,"41.48842","2.35276","Servei d'informació i atenció a les dones (SIAD) de Premià de Mar","Premià de Mar","937417404","Carrer","Ajuntament de Premià de Mar"
"512","29","de Sants, 79 - 81","Barcelonès","08014","Barcelonès","piad_santsmontjuic@bcn.cat","POINT (2.13689 41.37527)",,,,,"41.37527","2.13689","Servei d'informació i atenció a les dones (SIAD) de Barcelona - Sants-Montjuïc","Barcelona","932918731","Carrer","Ajuntament de Barcelona"
"663","31","de l'Ajuntament, 1, 2a planta","Baix Llobregat","08740","Baix Llobregat","siad@sabarca.cat","POINT (1.9712 41.45004)",,,,,"41.45004","1.9712","Servei d'informació i atenció a les dones (SIAD) de Sant Andreu de la Barca","Sant Andreu de la Barca","936356402","Plaça","Ajuntament de Sant Andreu de la Barca"
"760","20","d'Argentina, 5","Selva","17300","Selva","adones@blanes.cat","POINT (2.78433 41.66767)",,,,,"41.66767","2.78433","Servei d'informació i atenció a les dones (SIAD) de Blanes","Blanes","972336207","Plaça","Ajuntament de Blanes"
"660","26","Vidal, 146","Vallès Occidental","08208","Vallès Occidental","genere@ajsabadell.cat","POINT (2.11259 41.55398)",,,,,"41.55398","2.11259","Servei d'informació i atenció a les dones (SIAD) de Sabadell","Sabadell","937246167","Carrer","Ajuntament de Sabadell"
"559","31","Generalitat, 7","Baix Llobregat","08850","Baix Llobregat","siad@gava.cat","POINT (2.00458 41.30328)",,,,,"41.30328","2.00458","Servei d'informació i atenció a les dones (SIAD) de Gavà","Gavà","932639222","Carrer","Ajuntament de Gavà"
"877","18","de la Canal, 6, 1r","Bages","08241","Bages","siad@ajmanresa.cat","POINT (1.82557 41.72423)",,,,,"41.72423","1.82557","Servei d'informació i atenció a les dones (SIAD) de Manresa","Manresa","938752310","Carrer","Ajuntament de Manresa"
"703","22","Àngel Guimerà, 15","Vallès Oriental","08100","Vallès Oriental","SIAD@molletvalles.cat","POINT (2.21542 41.53504)",,,,,"41.53504","2.21542","Servei d'informació i atenció a les dones (SIAD) de Mollet del Vallès","Mollet del Vallès","935707747","Carrer","Ajuntament de Mollet del Vallès"
"198","36","Sant Roc, 2","Ribera d'Ebre","43740","Ribera d'Ebre","acciosocial@riberaebre.org","POINT (0.6432 41.09136)",,,,,"41.09136","0.6432","Servei d'informació i atenció a les dones (SIAD) de la Ribera d'Ebre","Móra d'Ebre","977401851","Plaça","Consell Comarcal de la Ribera d'Ebre"
"880","17","d'Agoders, 16","Urgell","25300","Urgell","siad@urgell.cat","POINT (1.14045 41.64676)",,,,,"41.64676","1.14045","Servei d'informació i atenció a les dones (SIAD) de l'Urgell","Tàrrega","973500707","Carrer","Consell Comarcal de l'Urgell"
"421","39","de la Patacada, 9","Baix Camp","43201","Baix Camp","siad@reus.cat","POINT (1.10501 41.1545)",,,,,"41.1545","1.10501","Servei d'informació i atenció a les dones (SIAD) de Reus","Reus","977010672","Plaça","Ajuntament de Reus"
"934","22","Rafael de Casanova, 8, 1r","Vallès Oriental","08186","Vallès Oriental","lemapd@llicamunt.cat","POINT (2.24022 41.60746)",,,,,"41.60746","2.24022","Servei d'informació i atenció a les dones (SIAD) de Lliça d'Amunt","Lliça d'Amunt","938607220","Carrer","Ajuntament de Lliça d'Amunt"
"570","26","Belles Arts, 19","Vallès Occidental","08290","Vallès Occidental","dones@cerdanyola.cat","POINT (2.13778 41.48765)",,,,,"41.48765","2.13778","Servei d'informació i atenció a les dones (SIAD) de Cerdanyola del Vallès","Cerdanyola del Vallès","935921647","Carrer","Ajuntament de Cerdanyola del Vallès"
"918","32","Germans Segura Viudas, s/n (Centre Vilarnau)","Alt Penedès","08770","Alt Penedès","centrevilarnau@santsadurni.cat","POINT (1.79219 41.42744)",,,,,"41.42744","1.79219","Servei d'informació i atenció a les dones (SIAD) de Sant Sadurní d'Anoia","Sant Sadurní d'Anoia","938914309","Plaça","Ajuntament de Sant Sadurní d'Anoia"
"230","37","de les Coques, 3","Tarragonès","43003","Tarragonès","siad@tarragones.cat","POINT (1.25868 41.11886)",,,,,"41.11886","1.25868","Servei d'informació i atenció a les dones (SIAD) del Tarragonès","Tarragona","977244506","Carrer","Consell Comarcal del Tarragonès"
"563","26","La Manxa, s/n (Casal dels Infants)","Vallès Occidental","08214","Vallès Occidental","cirdbadia@gmail.com","POINT (2.11527 41.5072)",,,,,"41.5072","2.11527","Servei d'informació i atenció a les dones (SIAD) de Badia del Vallès","Badia del Vallès","937294651","Carrer","Ajuntament de Badia del Vallès"
"488","31","Mn. Jacint Verdaguer, 16-18","Baix Llobregat","08940","Baix Llobregat","ladona@aj-cornella.cat","POINT (2.07088 41.35421)",,,,,"41.35421","2.07088","Servei d'informació i atenció a les dones (SIAD) de Cornellà de Llobregat","Cornellà de Llobregat","934742841","Carrer","Ajuntament de Cornellà de Llobregat"
"912","13","Llotja, 1, 2n (Edifici del Sucre)","Osona","08500","Osona","vicdones-siadosona@vic.cat","POINT (2.24683 41.92758)",,,,,"41.92758","2.24683","Servei d'informació i atenció a les dones SIAD vicDones - SIAD Osona","Vic","937027284","Carrer","Ajuntament de Vic/Consell Comarcal d'Osona"
"852","16","Salvador Espriu, s/n","Baix Empordà","17220","Baix Empordà","igualtat@guixols.cat","POINT (3.02467 41.7921)",,,,,"41.7921","3.02467","Servei d'informació i atenció a les dones (SIAD) de Sant Feliu de Guíxols","Sant Feliu de Guíxols","972820101","Plaça","Ajuntament de Sant Feliu de Guíxols"
"531","29","Baldomer Solà, 13-15","Barcelonès","08912","Barcelonès","siad@badalona.cat","POINT (2.23967 41.44709)",,,,,"41.44709","2.23967","Servei d'informació i atenció a les dones (SIAD) de Badalona","Badalona","934832968","Carrer","Ajuntament de Badalona"
"685","15","d'Àngel Guimerà, 28-30","Noguera","25600","Noguera","siad@ccnoguera.cat","POINT (0.80434 41.78568)",,,,,"41.78568","0.80434","Servei d'informació i atenció a les dones (SIAD) de la Noguera","Balaguer","973448933","Passeig","Consell Comarcal de la Noguera"
"862","26","Nacional - 150, km. 15 (Edifici Consell Comarcal)","Vallès Occidental","08227","Vallès Occidental","ja@ccvoc.cat","POINT (2.05352 41.55396)",,,,,"41.55396","2.05352","Servei d'informació i atenció a les dones (SIAD) del Vallès Occidental","Terrassa","937273534","Carretera","Consell Comarcal del Vallès Occidental"
"908","26","Joan Miró, s/n","Vallès Occidental","08191","Vallès Occidental","dona@ajrubi.es","POINT (2.03048 41.48573)",,,,,"41.48573","2.03048","Servei d'informació i atenció a les dones (SIAD) de Rubí","Rubí","935813900","Rambleta","Ajuntament de Rubí"
"701","25","Miquel Biada, 1","Maresme","08301","Maresme","siadmaresme@ccmaresme.cat","POINT (2.43819 41.53797)",,,,,"41.53797","2.43819","Servei d'informació i atenció a les dones (SIAD) del Maresme","Mataró","937411622","Plaça","Consell Comarcal del Maresme"
"669","31","Barcelona, 41","Baix Llobregat","08970","Baix Llobregat","donesdespi@sjdespi.net","POINT (2.06304 41.36841)",,,,,"41.36841","2.06304","Servei d'informació i atenció a les dones (SIAD) de Sant Joan Despí","Sant Joan Despí","934770051","Avinguda","Ajuntament de Sant Joan Despí"
"456","33","Quarter, 4","Baix Penedès","43700","Baix Penedès","pcandalija@elvendrell.net","POINT (1.53399 41.21687)",,,,,"41.21687","1.53399","Servei d'informació i atenció a les dones (SIAD) del Vendrell","El Vendrell","977181066","Carrer","Ajuntament del Vendrell"
"875","21","de Lluís Companys, 1, entresòl","Garrigues","25003","Segrià","icd.lleida@gencat.cat","POINT (0.619348 41.611962)",,,,,"41.611962","0.619348","Oficina d'informació de l'Institut Català de les Dones a Lleida","Lleida","973703658","Carrer","Generalitat de Catalunya"
"362","7","Progrés, 22","Ripollès","17500","Ripollès","dones@ripolles.cat","POINT (2.19435 42.19772)",,,,,"42.19772","2.19435","Servei d'informació i atenció a les dones (SIAD) del Ripollès","Ripoll","972715839","Carrer","Consell Comarcal del Ripollès"
"73","8","Voltes de Claris, 12","Berguedà","08600","Berguedà","igualtat@ccbergueda.cat","POINT (1.84699 42.10439)",,,,,"42.10439","1.84699","Servei d'informació i atenció a les dones (SIAD) del Berguedà","Berga","938213553","Carrer","Consell Comarcal del Berguedà"
"334","2","del doctor Carles Pol i Aleu, 5","Pallars Sobirà","25560","Pallars Sobirà","casaxorret@sort.cat","POINT (1.13153 42.41256)",,,,,"42.41256","1.13153","Servei d'informació i atenció a les dones (SIAD) de Sort","Sort","973620999","Carrer","Ajuntament de Sort"
"706","22","Hermanas de la Virgen Niña, 2","Vallès Oriental","08170","Vallès Oriental","igualtat@montornes.cat","POINT (2.26548 41.55315)",,,,,"41.55315","2.26548","Servei d'informació i atenció a les dones (SIAD) de Montornès del Vallès","Montornès del Vallès","935688127","Carrer","Ajuntament de Montornès del vallès"
