"adre_a","artesania","codi_postal","coeducaci","comarca","comunicaci_societat_de_la","cultura_i_arts","demarcaci_territorial","diversitat_funcional","dones_grans","drets_humans_i_cooperaci","drets_sexuals_i_reproductius","ecofeminismes","economia_feminista","email","emprenedoria_i_direcci_d","esports","fax","inserci_laboral_i_ocupaci","interculturalitat_i_migraci","jur_dic_legal","lgtbi","lleure","m_n_rural","municipi","organisme","pensaments_feministes_i","promoci_d_activitats_i","salut","sororitat_i_ajuda_m_tua","tel_fon","tipus","treball_de_cura","treball_sexual","viol_ncies_masclistes","web"
"Pl. de la Vila, 14","No","43812","No","Alt Camp","No","No","Tarragona","No","No","No","No","No","No","associaciodonespuigpelat@gmail.com","No","No",,"No","No","No","No","Sí","No","Puigpelat","Associació de Dones de Puigpelat Orquídia","No","Sí","No","No","615354490","Associacions/grup","No","No","No",
"C. del Tren, 49","No","17242","No","Gironès","No","No","Girona","No","No","No","No","No","No","ambullsdedona@gmail.com","No","No",,"No","No","No","No","Sí","No","Quart","Associació de Dones de Quart ""Amb ulls de dona""","No","No","No","No","607765597","Associacions/grup","No","No","No","http://ambullsdedona.blogspot.com/"
"C. de Tortosa, 16","No","43513","No","Ribera d'Ebre","No","Sí","Terres de l'Ebre","No","No","No","No","No","No","ass.dones.2010@gmail.com","No","No",,"No","No","No","No","Sí","No","Rasquera","Associació de Dones de Rasquera","No","No","No","No","616 631 084","Associacions/grup","No","No","No",
"Pl. del Tornall, 1","No","25594","No","Pallars Sobirà","No","Sí","Lleida","No","No","No","No","No","No","ares_ab@hotmail.com","No","No",,"No","No","No","No","Sí","No","Rialp","Associació de Dones de Rialp","No","No","No","No","689203960","Associacions/grup","No","No","No",
"C/ Major, 31","No","43790","No","Ribera d'Ebre","No","No","Terres de l'Ebre","No","No","No","No","No","No",,"No","No","977 41 64 04","No","No","No","No","Sí","No","Riba-roja d'Ebre","Associació de Dones de Riba-roja d'Ebre","No","No","No","No","977 41 60 03","Associacions/grup","No","No","No",
"Sala Eudald Graells","No","17500","No","Ripollès","No","No","Girona","No","No","No","No","No","No","assdonesripoll@hotmail.com","No","No",,"No","No","No","No","Sí","No","Ripoll","Associació de Dones de Ripoll","No","Sí","No","No","627 442 343","Associacions/grup","No","No","No",
"Urb.Torre d'en Gil  -Centre Cívic  Ortuella, s/n. Aula 9","No","43520","No","Baix Ebre","No","No","Terres de l'Ebre","No","No","No","No","No","No","atorregil@hotmail.com","No","No",,"No","No","No","No","Sí","No","Roquetes","Associació de Dones de Roquetes","No","No","No","No","663703885","Associacions/grup","No","No","Sí",
"C. Miquel, 2 (Casal del Barri de Marianao)","No","08830","No","Baix Llobregat","No","No","Barcelona","No","No","No","No","No","No","donessantboi@hotmail.com","No","No",,"No","No","No","No","Sí","No","Sant Boi de Llobregat","Associació de Dones de Sant Boi","No","No","No","No","93 652 16 93","Associacions/grup","No","No","No",
"Av. del Jordà, 27 (Centre Cívic Casa Groga)","No","08035","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","cccasagroga@qsl.cat","No","No",,"No","No","No","No","Sí","No","Barcelona","Associació de Dones de Sant Genís dels Agudells","No","No","No","No","93 418 65 31","Associacions/grup","No","No","No","http://www.cccasagroga.cat"
"C. Mare de Déu del Prat, 1, 5e 2a","No","17860","No","Ripollès","No","No","Girona","No","No","No","No","No","No","adones.sjabadesses@gmail.com","No","No",,"No","No","No","No","Sí","No","Sant Joan de les Abadesses","Associació de Dones de Sant Joan de les Abadesses","No","Sí","No","No","627 79 39 15","Associacions/grup","No","No","No",
"C. Galvany, 15-17, planta baixa","No","08901","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","assocdonessj@gmail.com","No","No",,"No","No","No","No","Sí","No","L'Hospitalet de Llobregat","Associació de Dones de Sant Josep","No","Sí","No","No","93 145 73 60","Associacions/grup","No","No","No",
"C. Marc Mir, 15 (Casal d'Entitats)","No","08770","No","Alt Penedès","No","No","Barcelona","No","No","No","No","No","No","ssdoness@hotmail.com","No","No","93 818 42 23","No","No","No","No","Sí","No","Sant Sadurní d'Anoia","Associació de Dones de Sant Sadurní","No","Sí","No","No","93 818 42 24","Associacions/grup","No","No","No","http://dones.santsadurni.cat/"
"C. Torres i Bages, 24","No","43710","No","Baix Penedès","No","No","Tarragona","No","No","No","No","No","No",,"No","No","977 66 38 07","No","No","No","No","Sí","No","Santa Oliva","Associació de Dones de Santa Oliva Sol Ixent","No","No","No","No","977 67 97 51","Associacions/grup","No","No","No",
"C. Monsenyor Vilaplana, 30","No","25175","No","Segrià","No","No","Lleida","No","No","Sí","No","No","No","adsarrocadelleida@gmail.com","No","No",,"No","No","No","No","Sí","No","Sarroca de Lleida","Associació de Dones de Sarroca de Lleida","No","Sí","No","No","620808348","Associacions/grup","No","No","No",
"C/Balmes, 22","No","25222","No","Pla d'Urgell","No","Sí","Lleida","No","No","No","No","No","No","associaciodedonesdesidamon@gmail.com","No","No",,"No","No","No","No","Sí","Sí","Sidamon","Associació de Dones de Sidamon","No","No","No","No","649267683","Associacions/grup","No","No","No",
"Pl. Catalunya, s/n (Centre Cívic del Poble Sec)","No","08870","No","Garraf","No","No","Barcelona","No","No","No","No","No","No","donessitges@gmail.com","No","No",,"No","No","No","No","Sí","No","Sitges","Associació de Dones de Sitges","No","No","No","No","93 894 73 36","Associacions/grup","No","No","No",
"C. Segre, 1, 3r","No","25173","No","Segrià","No","No","Lleida","No","No","No","No","No","No","associaciodedonessudanell@gmail.com","No","No",,"No","No","No","No","Sí","No","Sudanell","Associació de Dones de Sudanell","No","Sí","No","No","661 861 226","Associacions/grup","No","No","No","http://associaciodonessudanell.blogspot.com.es/"
"C. Abadia,9","Sí","43511","No","Baix Ebre","No","No","Terres de l'Ebre","No","No","No","No","No","No","donesdetivenys@gmail.com","No","No","977 49 62 33","No","No","No","No","Sí","No","Tivenys","Associació de Dones de Tivenys","No","No","No","No","977 49 62 33","Associacions/grup","No","No","No",
"C. del Portal, 3","No","25176","No","Segrià","No","Sí","Lleida","No","No","No","No","No","No",,"No","No","973 12 63 79","No","No","No","No","Sí","No","Torrebesses","Associació de Dones de Torrebesses","No","Sí","No","No","973 12 60 59","Associacions/grup","No","No","No",
"C. Mare de Deu de Foix, 2","No","08737","No","Alt Penedès","No","No","Barcelona","No","No","No","No","No","No","alasogonzalez@hotmail.com","No","No",,"No","No","No","No","Sí","No","Torrelles de Foix","Associació de Dones de Torrelles de Foix","No","No","No","No","938971197","Associacions/grup","No","No","No",
"Ctra. del Pla de Sta. Maria, 37 A","No","43800","No","Alt Camp","No","No","Tarragona","No","No","No","No","No","No","mariarosallurba@hotmail.com","No","No",,"No","No","No","No","No","No","Valls","Associació de Dones de Valls","No","Sí","No","No","977 21 20 10","Associacions/grup","No","No","No","http://adonesdevalls.blogspot.com.es/"
"Pl. de l'Esglèsia, s/n","No","25316","No","Noguera","No","No","Lleida","No","No","No","No","No","No","ammjmb@hotmail.com","No","No",,"No","No","No","No","Sí","No","Preixens","Associació de Dones de Ventoses","No","Sí","No","No","973 39 06 46","Associacions/grup","No","No","No",
"Apartat de correus, 43","No","17406","No","Osona","No","No","Girona","No","No","No","No","No","No","dolorspratserrat@hotmail.es; elenacardenal@hotmail.com","No","No",,"No","No","No","No","No","No","Viladrau","Associació de Dones de Viladrau","No","No","No","No","93 884 93 08","Associacions/grup","No","No","No",
"C. de Sant Llorenç, 4","No","43782","No","Terra Alta","No","No","Terres de l'Ebre","No","No","No","No","No","No","dscugat@hotmail.com; donesdevilalba@hotmail.com","No","No","977 438 133","No","No","No","No","Sí","No","Vilalba dels Arcs","Associació de Dones de Vilalba dels Arcs","No","Sí","No","No","620175315","Associacions/grup","No","No","No",
"Av. de Reus, 1","Sí","43311","No","Baix Camp","No","No","Tarragona","No","No","No","No","No","No","donesviar@gmail.com","No","No",,"No","No","No","No","Sí","No","Vilanova d'Escornalbou","Associació de Dones de Vilanova d'Escornalbou i l'Arbocet","No","Sí","No","No","690192777","Associacions/grup","No","No","No",
"C. Àngel Guimerà, 8","No","43380","No","Baix Camp","No","No","Tarragona","No","No","No","No","No","No",,"No","No",,"No","No","No","No","Sí","No","Vilaplana","Associació de Dones de Vilaplana","No","No","No","No",,"Associacions/grup","No","No","No",
"Pl. de l'Abadia, 1","No","17485","No","Alt Empordà","No","No","Girona","No","No","No","No","No","No","adonesvilasacra@hotmail.com","No","No",,"No","No","No","No","Sí","No","Vila-sacra","Associació de Dones de Vila-sacra","No","Sí","No","No","676637511","Associacions/grup","No","No","No",
"C/ Major, 2, B","No","25245","No","Pla d'Urgell","No","No","Lleida","No","No","No","No","No","No","asvilasana@gmail.com","No","No",,"No","No","No","No","Sí","Sí","Vila-sana","Associació de Dones de Vila-sana","No","Sí","No","No","670028172","Associacions/grup","No","No","No",
"C. de Sant Joan, 36, porta 4","No","08340","No","Maresme","No","No","Barcelona","No","No","No","No","No","No","pilar.farrero@gmail.com;viladona@gmail.com","No","No",,"No","No","No","No","Sí","No","Vilassar de Mar","Associació de Dones de Vilassar de Mar, VILADONA","No","No","No","No","93 759 55 91","Associacions/grup","No","No","No",
"Plaça Major, 12","No","43430","No","Conca de Barberà","No","No","Tarragona","No","No","No","No","No","No","adonesvimbodi@hotmail.com","No","No",,"No","No","No","No","Sí","No","Vimbodí","Associació de Dones de Vimbodí i Poblet","No","Sí","No","No","977878222","Associacions/grup","No","No","No",
"Plaça Divina Pastora, 2","No","43517","No","Baix Ebre","No","No","Terres de l'Ebre","No","No","No","No","No","No","donesvinallop@gmail.com","No","No",,"No","No","No","No","No","No","Vinallop","Associació de Dones de Vinallop","No","No","No","No","686552749","Associacions/grup","No","No","No",
"C. Quatre Barres Catalanes, 2, 2n","No","43792","No","Ribera d'Ebre","No","No","Terres de l'Ebre","No","No","No","No","No","No","associaciodonesdevinebre@gmail.com","No","No",,"No","No","No","No","Sí","No","Vinebre","Associació de Dones de Vinebre","No","Sí","No","No","977 405 074","Associacions/grup","No","No","No",
"Carrer del Futur","No","17252","No","Baix Empordà","No","No","Girona","No","No","No","No","No","No",,"No","No",,"No","No","No","No","No","No","Sant Antoni de Calonge","Associació de Dones del Baix Empordà","No","No","No","No","616075443","Associacions/grup","No","No","No",
"C. Bruc, 40, baixos","No","08950","No","Baix Llobregat","No","No","Barcelona","No","No","No","No","No","No","adoneslaplana@esplugues.org","No","No","93 473 65 12","No","No","No","No","Sí","No","Esplugues de Llobregat","Associació de Dones del Barri de la Plana","No","No","No","No","93 473 65 12","Associacions/grup","No","No","No","http://doneslaplana.entitats.esplugues.cat/"
"Pl. Del Platge, 2","Sí","43500","No","Baix Ebre","No","No","Terres de l'Ebre","No","No","No","No","No","No","lauramonllaoh@hotmail.com","No","No",,"No","No","No","No","No","No","Tortosa","Associació de Dones del Barri de Remolins","No","Sí","No","No","977 445 944","Associacions/grup","No","No","No",
"C. de l'Abad Oliva, 31 (Centre Cívic Llevant)","No","43204","No","Baix Camp","No","No","Tarragona","No","No","Sí","No","No","No","cc.llevant@reus.cat","No","No","977 77 68 51","No","No","No","No","No","No","Reus","Associació de Dones del Camí de Valls del Districte IV de Reus","No","Sí","No","No","977010026","Associacions/grup","No","No","No",
"C. Sant Joan, 33","No","08901","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","donescentrelh@orange.es","No","No","93 337 70 16","No","No","No","No","Sí","No","L'Hospitalet de Llobregat","Associació de Dones del Centre (L'H)","No","Sí","No","No","93 338 64 72","Associacions/grup","No","No","No",
"C. Josep Argemi, 48-52, 1r","No","08950","No","Baix Llobregat","No","No","Barcelona","No","No","No","No","No","No","mariadf61@hotmail.com","No","No",,"No","No","No","No","Sí","No","Esplugues de Llobregat","Associació de Dones del Gall","No","No","No","No","93 473 10 40","Associacions/grup","No","No","No","http://doneselgall.esplugues.ppe.entitats.diba.cat/"
"Pl. Major, 1 (local social)","No","25211","No","Segarra","No","No","Lleida","No","No","No","No","No","No","esterrius@hotmail.com","No","No",,"No","No","No","No","Sí","No","Torrefeta -  Florejacs","Associació de Dones del Llor","No","Sí","No","No","973 55 41 76","Associacions/grup","No","No","No",
"C. Nou, 5","No","43736","No","Priorat","No","No","Tarragona","No","No","No","No","No","No","adonesmasroig@hotmail.es","No","No",,"No","No","No","No","Sí","No","El Masroig","Associació de Dones del Masroig","No","Sí","No","No","977 82 50 38","Associacions/grup","No","No","No",
"Cal Sandic","No","25726","No","Cerdanya","No","No","Lleida","No","No","No","No","No","No","cerdanesrurals@hotmail.es","No","No",,"No","No","No","No","No","No","Arànser (Lles de Cerdanya)","Associació de Dones del Món Rural Cerdà","No","No","No","Sí","973515193","Associacions/grup","No","No","No",
"C. de Sant Josep, 1, 2n","No","25243","No","Pla d'Urgell","No","No","Lleida","No","No","No","No","No","No","montse.lorite@hotmail.es;associaciodonespalau@gmail.com","No","No",,"No","No","No","No","Sí","No","El Palau d'Anglesola","Associació de Dones del Palau d'Anglesola","No","No","No","No","600758608","Associacions/grup","No","No","No",
"C. Carles Pol i Aleu, 5","No","25560","No","Pallars Sobirà","No","No","Lleida","No","No","No","No","No","No",,"No","No",,"No","No","No","No","Sí","No","Sort","Associació de Dones del Pallars Sobirà","No","Sí","No","No","973620999","Associacions/grup","No","No","No",
"C. Democràcia, 19","No","25007","No","Segrià","No","No","Lleida","No","No","No","No","No","No",,"No","No",,"No","No","No","No","Sí","No","Lleida","Associació de Dones del Príncep de Viana","No","No","No","No","973224077","Associacions/grup","No","No","No",
"Pg. Pare Claret, s/n (Casa de Cultura, bústia núm. 24)","No","25280","No","Solsonès","No","No","Lleida","No","No","Sí","No","No","No","associaciodonessolsones@gmail.com","No","No",,"No","No","No","No","Sí","No","Solsona","Associació de Dones del Solsonès","No","Sí","No","No","973 49 28 48","Associacions/grup","No","No","No","http://donessolsones.solsonae.cat"
"C. Joan Alcover, 65 - Can Salgot","No","08186","No","Vallès Oriental","No","No","Barcelona","No","No","No","No","No","No","donesdeltenes@gmail.com","No","No",,"No","No","No","No","Sí","No","Lliçà d'Amunt","Associació de Dones del Tenes","No","Sí","No","No","93 841 71 12","Associacions/grup","No","No","No",
"Plaça Sant Martí, 1","No","25221","No","Segrià","No","No","Lleida","No","No","No","No","No","No","magdapovi63@gmail.com","No","No",,"No","No","No","No","Sí","No","Els Alamús","Associació de Dones dels Alamús","No","Sí","No","No","660459959","Associacions/grup","No","No","No",
"Av. de la  Carretera, 35","No","43777","No","Priorat","No","No","Tarragona","No","No","No","No","No","No","asdogui@gmail.com","No","No",,"No","No","No","No","Sí","No","Els Guiamets","Associació de Dones dels Guiamets","No","No","No","No","977413015","Associacions/grup","No","No","No",
"Pl. Regne d'Espanya, 5","No","43527","No","Baix Ebre","No","No","Terres de l'Ebre","No","No","No","No","No","No","lamasovera@hotmail.com;mariajo.reguers@yahoo.es;","No","No","977 50 17 44","No","No","No","No","Sí","No","Els Reguers","Associació de Dones d'Els Reguers","No","Sí","No","No","977 47 41 11","Associacions/grup","No","No","No",
"C/ Avall, s/n","No","25212","No","Segarra","No","No","Lleida","No","No","No","No","No","No","jordina_hosta@hotmail.com","No","No",,"No","No","No","No","Sí","No","Hostafrancs","Associació de Dones d'Hostafrancs","No","No","No","No","973520203","Associacions/grup","No","No","No","http://associaciodoneshostafrancs.blogspot.com.es/"
"C. Major, 57","No","25790","No","Alt Urgell","No","No","Lleida","No","No","No","No","No","No",,"No","No",,"No","No","No","No","Sí","No","Oliana","Associació de Dones d'Oliana","No","Sí","No","No","973 47 06 08","Associacions/grup","No","No","No",
"C. Marià Cubí, 193, entl. 3a","No","08021","No","Barcelonès","No","No","Barcelona","No","No","No","No","Sí","No",,"No","No",,"No","No","No","No","No","No","Barcelona","Associació de Dones Ecofeministes","No","No","No","No",,"Associacions/grup","No","No","No",
"Carretera de Girona, s/n","No",,"No","Segarra","No","No","Lleida","No","No","No","No","No","No","donesellila@gmail.com","No","No",,"No","No","No","No","Sí","No","Tarroja de Segarra","Associació de Dones el Lilà de Tarroja de Segarra","No","No","No","No","973520080","Associacions/grup","No","No","No",
"C/ 8 de Maig, 26","No","25143","No","Pla d'Urgell","No","No","Lleida","No","No","No","No","No","No",,"No","No",,"No","No","No","No","Sí","No","El Poal","Associació de Dones El Poal Sarcènit","No","No","No","No","973565199","Associacions/grup","No","No","No",
"C. Nou, s/n","No","25420","No","Garrigues","No","No","Lleida","No","No","No","No","No","No","ajuntament@puiggros.ddl.net","No","No",,"No","No","No","No","Sí","No","Puiggròs","Associació de Dones El Portal","No","Sí","No","No","973142269","Associacions/grup","No","No","No",
"C/ Domenec Cardenal, 1","No","25142","No","Pla d'Urgell","No","No","Lleida","No","No","No","No","No","No","donesbellvis@gmail.com","No","No",,"No","No","No","No","Sí","Sí","Bellvís","Associació de Dones El Pou de l'Or de Bellvís","No","Sí","No","No","973565101","Associacions/grup","No","No","No","http://bellvis.ddl.net"
"Pl. de la Vila, 33","No","25177","No","Garrigues","No","No","Lleida","No","No","No","No","No","No","elroure@hotmail.es","No","No",,"No","No","No","No","Sí","No","La Granadella","Associació de Dones El Roure de la Granadella","No","Sí","No","No","696590816","Associacions/grup","No","No","No","http://www.lagranadella.cat/entitats/author/associacio/"
"C/ Major, 5","No","25151","No","Segrià","No","Sí","Lleida","No","No","No","No","No","No","ajuntament@aspa.cat","No","No","973 12 20 00","No","No","No","No","Sí","No","Aspa","Associació de Dones el Set d'Aspa","No","Sí","No","No","973122113","Associacions/grup","No","No","No",
"C/ Vallbona, 1","No","25341","No","Urgell","No","No","Lleida","No","No","No","No","No","No","donesdenalec@gmail.com","No","No","973 30 35 07","No","No","No","No","Sí","Sí","Nalec","Associació de Dones El Setembre de Nalec","No","Sí","No","No","973 30 31 00","Associacions/grup","No","No","No",
"C. Verge de la Mercè, 1","No","08950","No","Baix Llobregat","No","No","Barcelona","No","No","Sí","No","No","No","asociacioneltaller@gmail.com","No","No",,"No","No","No","No","Sí","No","Esplugues de Llobregat","Associació de Dones El Taller","No","Sí","No","No","93 371 02 66","Associacions/grup","No","No","No","http://donestaller.esplugues.ppe.entitats.diba.cat/"
"C. Renaixement, 8","No","43812","No","Alt Camp","No","No","Tarragona","No","No","No","No","No","No","associaciodonesrodonya@hotmail.com","No","No",,"No","No","No","No","Sí","No","Rodonyà","Associació de Dones el Taller de Rodonyà","No","No","No","No","654566826","Associacions/grup","No","No","No",
"C/ Major, s/n","No","25163","No","Garrigues","No","No","Lleida","No","No","No","No","No","No","doneselaia@gmail.com","No","No",,"No","No","No","No","Sí","No","El Soleràs","Associació de Dones Elaia del Soleràs","No","Sí","No","No","653798156","Associacions/grup","No","No","No",
"C. Benavent, 29-31, 4t","No","08028","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","mvigarcia@hotmail.com; ademontcada@gmail.com","No","No",,"No","No","No","No","Sí","No","Barcelona","Associació de Dones Elisenda de Montcada","No","Sí","No","No","93 333 81 14","Associacions/grup","No","No","No",
"C. Plaja, 9","No","08733","No","Alt Penedès","No","No","Barcelona","No","No","No","No","No","No","elnadelpla@gmail.com","No","No",,"No","No","No","No","No","No","El Pla del Penedès","Associació de Dones Elna del Pla del Penedès","No","Sí","No","No","665 55 72 52","Associacions/grup","No","No","No",
"C. César Mayor, s/n","No","43879","No","Montsià","No","No","Terres de l'Ebre","No","No","No","No","No","No","lucreciatomas54@hotmail.com","No","No",,"No","No","No","No","Sí","No","Els Muntells","Associació de Dones Els Muntells","No","No","No","No",,"Associacions/grup","No","No","No",
"Pl. Major, 13","No","25412","No","Garrigues","No","No","Lleida","No","No","No","No","No","No",,"No","No",,"No","No","No","No","Sí","No","Els Omellons","Associació de Dones els Vilars dels Omellons","No","No","No","No","973156186","Associacions/grup","No","No","No",
"C. Horta d'en Creus, 40,3r.2ª","No","17300","No","Selva","No","No","Girona","No","No","No","No","No","No","donesemp@yahoo.es","No","No",,"No","No","No","No","Sí","No","Blanes","Associació de Dones Emprenedores de Blanes","No","Sí","No","No","972 33 36 18","Associacions/grup","No","No","No",
"Av. Pau Casals, 17, 2a planta","No","43003","No","Tarragonès","No","No","Tarragona","No","No","No","No","No","No","adee@tinet.org","Sí","No","977 22 95 19","No","No","No","No","No","No","Tarragona","Associació de Dones Empresàries i Emprenedores de les comarques de Tarragona","No","No","No","No","977 22 10 00","Associacions/grup","No","No","No","http://www.adeetgn.com"
"C. de Cervantes, 7","No","43500","No","Baix Ebre","No","No","Terres de l'Ebre","No","No","No","No","No","No","adede.ebre@gmail.com","Sí","No",,"No","No","No","No","Sí","No","Tortosa","Associació de Dones Empresàries, Emprenedores i Directives de les Terres de l'Ebre","No","Sí","No","No","648 475 340","Associacions/grup","No","No","No",
"C. J. Batlle Pijoan, 26, baixos","No","43860","No","Baix Ebre","No","No","Terres de l'Ebre","No","No","No","No","No","No","domi80nica@hotmail.com; donesendavant@gmail.com; alquileres465@gmail.com","No","No",,"No","No","No","No","Sí","No","L'Ametlla de Mar","Associació de Dones Endavant","No","No","No","No","977 49 38 91","Associacions/grup","No","No","No",
"Passatge La Plana, 6","No","25331","No","Urgell","No","No","Lleida","No","No","No","No","No","No","dones.tornabous@gmail.com","No","No",,"No","No","No","No","Sí","No","Tornabous","Associació de Dones Esperança de Tornabous","No","No","No","Sí","609056468","Associacions/grup","No","No","No",
"Pl. de l'Església, 4","No","08777","No","Alt Penedès","No","No","Barcelona","No","No","No","No","No","No","torrentsmn@diba.cat","No","No",,"No","Sí","No","No","No","No","Sant Quintí de Mediona","Associació de Dones Estrangeres-Catalanes de Sant Quintí de Mediona (ADECA)","No","No","No","No","93 899 80 28","Associacions/grup","No","No","No",
"Plaça Catalunya, 5","No","25220","No","Pla d'Urgell","No","No","Lleida","No","No","No","No","No","No","donesflordelis@hotmail.com","No","No",,"No","No","No","No","Sí","No","Bell-lloc d'Urgell","Associació de Dones Flor de Lis de Bell-Lloc","No","No","No","No","627441027","Associacions/grup","No","No","No","http://www.bll.cat/dones"
"Raval de Tàrrega, s/n","No","25344","No","Urgell","No","Sí","Lleida","No","No","No","No","No","No","florderomanisantmarti@gmail.com","No","No",,"No","No","No","No","Sí","No","Sant Martí de Maldà","Associació de Dones Flor de Romaní de Sant Martí de Maldà","No","Sí","No","No","973 33 00 39","Associacions/grup","No","No","No",
"C. Dolores Ibarruri, 45 (C. Cívic Sant Jordi-Ribera Baixa)","No","08820","No","Baix Llobregat","No","No","Barcelona","No","No","No","No","No","No","pilar.torralvo@gmail.com; adpfridakahlo@gmail.com","No","No",,"No","No","No","No","Sí","No","El Prat de Llobregat","Associació de Dones Frida Kahlo","No","Sí","No","No","93 374 15 80","Associacions/grup","No","No","No","http://adpfridakahlo.entitatsdelprat.cat/"
"C. Raval Robuster, 36","No","43204","No","Baix Camp","No","No","Tarragona","No","No","No","No","No","No","donesganxetes@hotmail.es","No","No",,"No","No","No","No","Sí","No","Reus","Associació de Dones Ganxetes","No","No","No","No","630 362 895","Associacions/grup","No","No","No","http://www.donesganxetes.blogspot.com"
"c/  Bernat de Vil·lamari, 5 3r 4ª","No","43500","No","Baix Ebre","No","No","Terres de l'Ebre","No","No","No","No","No","No","dones_gitanes@hotmail.com","No","No",,"No","Sí","No","No","No","No","Tortosa","Associació de Dones Gitanes de les Terres de l'Ebre","No","Sí","No","No","636072585","Associacions/grup","No","No","No",
"Camí de Valls, 75, 3r, 4a","No","43204","No","Baix Camp","No","No","Tarragona","No","No","No","No","No","No","juvli.romni@yahoo.es","No","No",,"No","Sí","No","No","No","No","Reus","Associació de Dones Gitanes Juvli Romni","No","No","No","No","664726070","Associacions/grup","No","No","No",
"C. Abadia, 1","No","43393","No","Baix Camp","No","No","Tarragona","No","No","No","No","No","No","donesdalmoster@gmail.com","No","No",,"No","No","No","No","Sí","No","Almoster","Associació de Dones Grup Santa Àgata","No","No","No","No","977 855 280","Associacions/grup","No","No","No",
"C. La Pedrera, 1","No","43881","No","Baix Penedès","No","No","Tarragona","No","No","No","No","No","No",,"No","No",,"No","No","No","No","Sí","No","Cunit","Associació de Dones Haidé","No","No","No","No","696 37 11 34","Associacions/grup","No","No","No",
"Pg. de Santa Quitèria, 23","No","08410","No","Vallès Oriental","No","No","Barcelona","No","No","No","No","No","No",,"No","No",,"No","No","No","No","Sí","No","Vilanova del Vallès","Associació de Dones Heura","No","Sí","No","No","629 339 696","Associacions/grup","No","No","No",
"C/ Doctor Robert, s/n","No","25171","No","Segrià","No","No","Lleida","No","No","No","No","No","No","ajuntament@albatarrec.cat; dolors@albatarrec.cat","No","No",,"No","No","No","No","Sí","No","Albatàrrec","Associació de Dones i Àgates d'Albatàrrec","No","Sí","No","No",,"Associacions/grup","No","No","No",
"C. Joaquim Viola, 11, baixos","No","25700","No","Alt Urgell","No","No","Lleida","No","No","No","No","No","No","adicau@hotmail.com","No","No",,"No","No","No","No","Sí","No","La Seu d'Urgell","Associació de Dones i Confraresses de l'Alt Urgell","No","Sí","No","No","973 35 14 10","Associacions/grup","No","No","No","http://donesiconfraresesalturgell.blogspot.com

#http://donesiconfraresesalturgell.blogspot.com"
"C. de la Vall d'Aran, 53 -Urb. La Mòra","No","43008","No","Tarragonès","No","Sí","Tarragona","No","No","Sí","No","No","No",,"No","No","977 22 22 98","No","No","No","No","No","No","Tarragona","Associació de Dones i Cultura -ADC-","No","Sí","No","No","651 67 79 14","Associacions/grup","No","No","No",
"C/ Rita Boldú (Edifici Lo Xargall), s/n","No","25335","No","Noguera","No","Sí","Lleida","No","No","No","No","No","No","ad_ilusio@hotmail.com","No","No",,"No","No","No","No","Sí","No","Penelles","Associació de Dones Il·lusió de Penelles","No","Sí","No","No","699324859","Associacions/grup","No","No","No",
"C. Pau Carbó, 45 1è 2a","No","08403","No","Vallès Oriental","No","No","Barcelona","No","No","No","No","No","No",,"No","No",,"No","No","No","No","Sí","No","Granollers","Associació de Dones Immigrants Subsaharianes","No","No","No","No","617 69 22 78","Associacions/grup","No","No","No","https://sites.google.com/site/adisgranollers381/"
"C. de la Font, 5-7","No","08740","No","Baix Llobregat","No","No","Barcelona","No","No","No","No","No","No","casaldonessab@gmail.com","No","No",,"No","No","No","No","Sí","No","Sant Andreu de la Barca","Associació de Dones Independents de Sant Andreu de la Barca","No","Sí","No","No","93 682 33 45","Associacions/grup","No","No","No",
"Av. del Paral.lel, 113, 2n 2a","No","08004","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No",,"No","No",,"No","No","No","No","No","No","Barcelona","Associació de Dones Informàtiques (ACDI)","No","No","No","No",,"Associacions/grup","No","No","No",
"C. Alcalde Rovira Roure, 80 - Hospital Arnau de Vilanova","No","25198","No","Segrià","No","Sí","Lleida","No","No","No","No","No","No","adimalleida@gmail.com;radioterapia.lleida.ics@gencat.cat","No","No","973 23 29 28","No","No","No","No","No","No","Lleida","Associació de Dones Intervingudes de Mama de Lleida","No","No","No","Sí","973 70 52 04","Associacions/grup","No","No","No",
"C. Ponent, s/n","No","08930","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No",,"No","No",,"No","No","No","No","Sí","No","Sant Adrià de Besòs","Associació de Dones Iris","No","No","No","No","93 381 01 33","Associacions/grup","No","No","No","http://www.grupdedonesiris.com/"
"Pl. Major, 1","No","25337","No","Noguera","No","Sí","Lleida","No","No","No","No","No","No","dones.isabelina@gmail.com","No","No",,"No","No","No","No","Sí","No","Bellcaire d'Urgell","Associació de Dones Isabelina de Bellcaire d'Urgell","No","Sí","No","No","615489425","Associacions/grup","No","No","No","http://donesbellcaire.blogspot.com"
"C. Cardenal Cisneros, 1, 4t","No","08914","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No",,"No","No",,"No","Sí","No","No","No","No","Badalona","Associació de Dones Jasmin","No","Sí","No","No","619 138 632","Associacions/grup","No","No","No",
