"","name","contact:phone","contact:email","contact:website","description","amenity","social_facility:for","source","source:date","Id","addr:street","addr:housenumber","addr:block","addr:floor","addr:housename","addr:postcode","addr:city","addr:place","latitud","longitud"
"194","Associació de Dones Braç a Braç","+34 93 718 81 81","arriagaaznarm@gmail.com","","lleure; promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",275,"Avinguda de la Generalitat","31",NA,NA,NA,"08210","Barberà del Vallès",NA,"0","0"
"195","Associació de Dones Busca Temps de Torregrossa","+34 973 170 415","buscatemps@gmail.com","","cultura i arts","social_facility","woman","Generalitat de Catalunya","2019-03-29",679,"Plaça Canalejas","1",NA,NA,NA,"25141","Torregrossa",NA,"0","0"
"196","Associació de Dones Ca l'Aurelià","+34 695 697 770","webseparadas@hotmail.com","http://calaurelia.cat/","jurídic i legal","social_facility","woman","Generalitat de Catalunya","2019-03-29",75,"Carrer Aragó","259",NA,"entl",NA,"08007","Barcelona",NA,"41,391753986","2,164067433"
"197","Associació de Dones Castellsalvà de Belianes","+34 973330164","adonescastellsalva@gmail.com","http://adcastellsalva.blogspot.com.es","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",742,"Plaça de l'Ajuntament","1",NA,NA,NA,"25266","Belianes",NA,"41,56176825","1,01748664"
"198","Associació de Dones Caterines de Vinyols i els Arcs","+34 977 85 09 13","donescaterines@tinet.org","","lleure; món rural","social_facility","woman","Generalitat de Catalunya","2019-03-29",898,"Raval de Sant Joan","1",NA,NA,NA,"43391","Vinyols i els Arcs",NA,"41,113665633","1,038114613"
"199","Associació de Dones Ciberdona","+34 93 210 08 03","ciberdona@gmail.com;mll.montserrat@gmail.com","http://www.associaciociberdona.entitatsbcn.net/associacio-ciberdona/","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",163,"Carrer Cardener","45",NA,NA,NA,"08024","Barcelona",NA,"41,410084965","2,157016948"
"200","Associació de Dones Cimbori de Barbens","+34 628084882","cimboribarbens@gmail.com","","cultura i arts; lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",738,"Carrer Nou","7",NA,NA,NA,"25262","Barbens",NA,"41,678273963","1,014243524"
"201","Associació de dones Clara Campoamor","+34 616818435","posujo@hotmail.com","","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",1020,"Passatge 5","12",NA,NA,"Centre Cívic Cambrils","43850","Cambrils",NA,"41,078041634","1,053186599"
"202","Associació de Dones Col·lectiu de Dones d'Alcover","+34 977760397","c.donesalcover@hotmail.com","","lleure; promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",910,"Carrer de l'Amorós","11",NA,NA,NA,"43460","Alcover",NA,"0","0"
"203","Associació de Dones Colomines","+34 636122385","ass.donescolomines@gmail.com","","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",903,"Passeig de  la Muralla","s/n",NA,NA,NA,"43420","Santa Coloma de Queralt",NA,"41,532525341","1,386587685"
"204","Associació de Dones Comunicació i Moda","+34 93 204 06 25","","","comunicació, societat de la informació i TIC; emprenedoria i direcció d'empreses","social_facility","woman","Generalitat de Catalunya","2019-03-29",84,"Rambla de Catalunya","124",NA,NA,NA,"08008","Barcelona",NA,"41,39519526","2,158064829"
"205","Associació de Dones Corberenques Atenea","+34 93 650 02 11 (ext 275)","donesatenea@gmail.com","","coeducació","social_facility","woman","Generalitat de Catalunya","2019-03-29",419,"Carrer Jaume Balmes","3",NA,NA,NA,"08757","Corbera de Llobregat",NA,"41,416663157","1,928331494"
"206","Associació de Dones Creadores Teatre de Maleta","+34 977178076","teatredemaleta@gmail.com","www.teatredemaleta.es",NA,"social_facility","woman","Generalitat de Catalunya","2019-03-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Associació de Dones d'Aitona","+34 615 39 06 00","assoc.donesaitona@gmail.com;","","promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",706,"Carrer Joan XXIII","26",NA,NA,NA,"25182","Aitona",NA,"41,491849195","0,459294908"
"208","Associació de Dones d'Alcanó","+34 973136500","alcanodones@gmail.com","","lleure; promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",689,"Plaça Major","9",NA,NA,NA,"25162","Alcanó",NA,"41,48136","0,6167005"
"209","Associació de Dones d'Alcoletge","+34 644479920","alcoletgedones@gmail.com","","lleure; promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",802,"Carrer Sitjar","2",NA,NA,NA,"25660","Alcoletge",NA,"41,646998751","0,694246517"
"210","Associació de Dones d'Almatà","+34 610753388","donesalmata@gmail.com","","cultura i arts; lleure; promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",792,"Carrer Miracle","28",NA,NA,NA,"25600","Balaguer",NA,"41,788325694","0,805422315"
"211","Associació de Dones d'Arnes","+34 977 435 134","addarnes@gmail.com; lapremsarnes@hotmail.com; falcoverro@arnes.altanet.org; tcasasvives90@gmail.com; mile@tinet.org","","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",956,"Carrer Doctor Trueta","1",NA,NA,NA,"43597","Arnes",NA,"40,90930828","0,260545152"
"212","Associació de Dones d'Artesa de Lleida","+34 ","eva@orfeolleidata.cat","","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",682,"Carrer Castell","3",NA,NA,NA,"25150","Artesa de Lleida",NA,"41,551747762","0,703203424"
"213","Associació de Dones de Barberà de la Conca","+34 977 88 71 80","","","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",904,"Carrer Societat","37",NA,NA,NA,"43422","Barberà de la Conca",NA,"41,41224227","1,225820945"
"214","Associació de Dones de Bellaguarda l'Alzina","+34 659 03 75 41","pcrisol@werfen.com","","lleure; món rural","social_facility","woman","Generalitat de Catalunya","2019-03-29",690,"Carrer Les Eres","27",NA,NA,NA,"25163","Bellaguarda",NA,"41,336952161","0,734812684"
"215","Associació de Dones de Bonavista","+34 93 395 18 65","mvtvito@gmail.com","","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",490,"Carrer Eliseu Meifrèn","40-42",NA,NA,NA,"08915","Badalona",NA,"0","0"
"216","Associació de Dones de Botarell","+34 977 82 61 30","mvilella@botarell.cat","","lleure; promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",984,"Carrer Major","6",NA,NA,NA,"43772","Botarell",NA,"41,136083836","0,989323112"
"217","Associació de Dones de Cabra del Camp","+34 636529092","associaciodonesdecabra@gmail.com","","lleure; promoció d'actitats i reivindicació dels drets de les dones; salut","social_facility","woman","Generalitat de Catalunya","2019-03-29",1004,"Plaça de l'Església","1",NA,NA,NA,"43811","Cabra del Camp",NA,"0","0"
"218","Associació de Dones de Camarles i Lligallos","+34 977 47 00 50","piligomez@hotmail.com","","drets humans i cooperació","social_facility","woman","Generalitat de Catalunya","2019-03-29",1030,"Disseminats la Gravera","s/n",NA,NA,NA,"43894","Camarles",NA,"40,778824202","0,672311229"
"219","Associació de Dones de Campdevànol - El Roser","+34 972 730 730","assdoneselroser@gmail.com","","promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",609,"Plaça Clavé","s/n",NA,"2",NA,"17530","Campdevànol",NA,"0","0"
"220","Associació de Dones de Can Boada","+34 93 789 42 49","donescanboada@gmail.com","http://donesboada.terrassa.net/Home/_H4QS29qxa71OhU8xJrenCeNaKPHkhubu39UeVc8bwBTi5m62VhfD1g","lleure; sororitat i ajuda mútua","social_facility","woman","Generalitat de Catalunya","2019-03-29",291,"Carrer Joan d'Àustria","11",NA,NA,"Casal Cívic Can Boada","08225","Terrassa",NA,"0","0"
"221","Associació de Dones de Capçanes","+34 609815943","dolors1028@gmail.com","",NA,"social_facility","woman","Generalitat de Catalunya","2019-03-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","Associació de Dones de Castelló de Farfanya","+34 973 42 82 37","ajuntament@castello.cat","","promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",672,"Plaça Major","1",NA,NA,NA,"25136","Castelló de Farfanya",NA,"41,8203579","0,727311"
"223","Associació de Dones de Centelles","+34 699 519 306","cristinaciudad92@gmail.com","","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",376,"Avinguda Bell Esguard","12",NA,NA,NA,"08540","Centelles",NA,"41,804118754","2,221502636"
"224","Associació de Dones de Cerdanya","+34 626572103","associaciodonescerdanya@gmail.com","","promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",608,"Carrer Major","51",NA,NA,NA,"17520","Puigcerdà",NA,"42,408295952","1,942582789"
"225","Associació de Dones de Ciutat Cooperativa-Molí Nou Esclat","+34 627 651 234","dones.esclat@hotmail.com","","artesania; lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",442,"Carrer Pau Casals","7",NA,NA,NA,"08830","Sant Boi de Llobregat",NA,"41,357078207","2,030302485"
"226","Associació de Dones de Collbató","+34 ","","donescollbato@gmail.com",NA,"social_facility","woman","Generalitat de Catalunya","2019-03-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","Associació de Dones de Corbins (ADOCOR)","+34 649 397 380","adocor.corbins@gmail.com","","cultura i arts; lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",673,"Carrer de l'Església","2",NA,NA,NA,"25137","Corbins",NA,"41,691853","0,6961428"
"228","Associació de Dones de Cornudella de Montsant","+34 646 801 230","","","lleure; promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",884,"Carrer Comte de Rius","10",NA,"2",NA,"43360","Cornudella de Montsant",NA,"41,264781451","0,905103982"
"229","Associació de Dones de Costura l'Horitzó","+34 972 20 80 02","","","cultura i arts","social_facility","woman","Generalitat de Catalunya","2019-03-29",555,"Rambla Xavier Cugat","5-12",NA,NA,NA,"17007","Girona",NA,"41,992464892","2,812540757"
"230","Associació de Dones de Cubelles la Fita","+34 ","doneslafita@gmail.com","http://doneslafita.blogspot.com/","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",460,"Plaça de Balmes","4",NA,NA,NA,"08880","Cubelles",NA,"0","0"
"231","Associació de Dones de Deltebre","+34 639 03 09 11","donesdeltebre90@gmail.com","","lleure; promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",947,"Plaça Major","7",NA,NA,NA,"43580","Deltebre",NA,"0","0"
"232","Associació de dones de Duesaigües","+34 637890775","assoc.donesduesaigues@gmail.com","","cultura i arts; promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",985,"Carrer del Mig","8",NA,NA,NA,"43773","Duesaigües",NA,"0","0"
"233","Associació de Dones de Fibromialgia de Tortosa","+34 649273817","afcisquim@yahoo.es","","salut","social_facility","woman","Generalitat de Catalunya","2019-03-29",924,"Carrer Mossen Ovidi","s/n",NA,NA,NA,"43500","Tortosa",NA,"40,799130002","0,519702145"
"234","Associació de Dones de Flix","+34 977 41 01 36","associaciodonesflix@gmail.com","","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",976,"Carrer del Mercat","6",NA,NA,NA,"43750","Flix",NA,"41,230754238","0,551254705"
"235","Associació de Dones de Fogars","+34 677 355 540","donesdefogars@hotmail.com","http://lesdonesdefogars.blogspot.com.es/","drets humans i cooperació; lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",364,"Carretera BV-5122","km 5",NA,NA,"Museu de Fogars","08495","Fogars de la Selva",NA,"0","0"
"236","Associació de Dones de Fondarella","+34 646 701 214","adonesfondarella@hotmail.com","","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",735,"Rambla de la Font","26",NA,NA,NA,"25244","Fondarella",NA,"41,635099013","0,873668572"
"237","Associació de Dones de Gandesa la Dona Gandesana","+34 977 42 14 93","assdedonesdegandesa@gmail.com","","coeducació; lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",989,"Plaça de l'Església","1",NA,NA,NA,"43780","Gandesa",NA,"0","0"
"238","Associació de Dones de Garcia ""Les Àguedes""","+34 977 400 638","associaciodonesgarcia@hotmail.com; judithmasip@hotmail.com","","lleure; promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",975,"Carrer Major","49",NA,NA,NA,"43749","Garcia",NA,"41,136800043","0,648064176"
"239","Associació de Dones de Gimenells","+34 625 55 79 45","adogimenells@gmail.com","","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",660,"Carrer Doctor Sarrat","7",NA,NA,NA,"25112","Gimenells",NA,"41,6528397","0,389686362"
"240","Associació de Dones de Ginestar","+34 977 409 131","donesdeginestar@hotmail.com","","lleure; promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",974,"Carrer del Riu","7",NA,NA,NA,"43748","Ginestar",NA,"41,042787191","0,635211385"
"241","Associació de Dones de Gósol","+34 973 37 01 55","ajuntament@gosol.ddl.net; rotllant@hotmail.com","","cultura i arts; lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",811,"Carrer Conseller Agustí Carol i Foix","s/n",NA,NA,NA,"25716","Gósol",NA,"0","0"
"242","Associació de Dones de Granollers Noa","+34 93 879 64 98","","","promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",356,"Carrer Joan Prim","58",NA,"2",NA,"08402","Granollers",NA,"41,611328776","2,289760873"
"243","Associació de Dones de Guinea Conakry","+34 872 03 02 20","absoul2008@live.com","","interculturalitat i migració","social_facility","woman","Generalitat de Catalunya","2019-03-29",563,"Carrer Àngel Guimerà","81",NA,"2",NA,"17190","Salt",NA,"0","0"
"244","Associació de Dones de Jesús","+34 650 483 433","associaciodonesjesus@hotmail.com","","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",950,"Carrer de les Escoles Velles","9",NA,NA,NA,"43590","Jesús-Tortosa",NA,"0","0"
"245","Associació de Dones de la Carena d'Ulldemolins","+34 977231301","mangelscosta@hotmail.com","","lleure; promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",886,"Carrer de la Saltadora","28",NA,NA,NA,"43363","Ulldemolins",NA,"41,321455476","0,87643404"
"246","Associació de Dones de la Galera","+34 977 71  84 23","associaciodonesgalera@gmail.com;marina.belferre@gmail.com","","lleure; promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",932,"Carrer de Sant Llorenç","36",NA,"2",NA,"43515","La Galera",NA,"0","0"
"247","Associació de Dones de la Móra","+34 977652000","","","lleure; promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",854,"Carrer Segrià","8",NA,NA,NA,"43008","Tarragona","Urbanització La Mora","41,137288568","1,347375222"
"248","Associació de Dones de la Pobla de Segur","+34 973680253","donespobla@gmail.com","","cultura i arts; lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",781,"Avinguda de Catalunya","13",NA,NA,NA,"25500","La Pobla de Segur",NA,"42,249336938","0,965606525"
"249","Associació de Dones de La Riera de Gaià","+34 977 65 51 80","doneslarieradegaia@gmail.com","","lleure; món rural","social_facility","woman","Generalitat de Catalunya","2019-03-29",978,"Carrer de Sant Pau","12",NA,NA,NA,"43762","La Riera de Gaià",NA,"41,166676638","1,359512018"
"250","Associació de Dones de la Vall d'Àger","+34 628 21 00 11","nardiaca@gencat.cat","","lleure; món rural","social_facility","woman","Generalitat de Catalunya","2019-03-29",806,"Carrer Santes Creus","s/n",NA,NA,NA,"25691","Àger",NA,"0","0"
"251","Associació de Dones de la Vall de Camprodon","+34 695935294","comunicacio@camprodon.cat","","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",627,"Plaça d'Espanya","2",NA,NA,"Ajuntament de Camprodon","17867","Camprodon",NA,"0","0"
"252","Associació de Dones de la Vall de Llémena","+34 972 42 82 90","associaciodonesdelavall@gmail.com","","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",559,"Carrer Montseny","4",NA,NA,"Biblioteca","17150","Sant Gregori",NA,"41,990348635","2,76063833"
"253","Associació de Dones de la Vall de Ribes","+34 972 72 71 43","assodonesvallderibes@gmail.com","http://associaciodedonesdelavallderibes.blogspot.com.es/","promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",610,"Carrer Eres","6",NA,NA,NA,"17534","Ribes de Freser",NA,"42,306424884","2,169182209"
"254","Associació de Dones de l'Abellera de Prades","+34 977868018","assdonesabellera@gmail.com","","promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",887,"Carrer Sant Martí","10",NA,NA,NA,"43364","Prades",NA,"0","0"
"255","Associació de Dones de l'Albiol","+34 607118501","donesalbiol@gmail.com","","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",912,"Carrer Dragó","15",NA,NA,NA,"43478","L'Albiol",NA,"0","0"
"256","Associació de Dones de l'Aldea (ADA)","+34 629 338 539","pandora456@hotmail.com","","lleure; promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",1032,"Camí de Burjassenia","331",NA,NA,NA,"43896","L'Aldea",NA,"0","0"
"257","Associació de Dones de l'Ampolla","+34 670272599","donesdelampolla@gmail.com","","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",1031,"Plaça Manel Ferre",NA,NA,NA,NA,"43895","L'Ampolla",NA,"0","0"
"258","Associació de Dones de l'Avinguda Saragossa","+34 ","","","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",875,"Avinguda Saragossa","bloc 2",NA,NA,NA,"43206","Reus",NA,"41,16028578","1,091602618"
"259","Associació de Dones de les Arenes, la Grípia i Can Montllor","+34 ","","","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",295,"Carrer Joan XVIII","44-46",NA,NA,NA,"08227","Terrassa",NA,"0","0"
"260","Associació de Dones de Malgrat de Mar","+34 93 765 38 10","","http://www.associaciodones.org","lleure; promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",349,"Carrer Sant Pere","19 C",NA,NA,NA,"08380","Malgrat de Mar",NA,"41,643961849","2,7452836"
"261","Associació de Dones de Masquefa","+34 666 955 071","adoma08@hotmail.com","http://adomaassociacidedonesdemasquefa.blogspot.com","lleure; promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",425,"Carrer San Antoni","s/n",NA,NA,"Antiga Fàbrica del Cartró","08783","Masquefa",NA,"41,502055698","1,811111939"
"262","Associació de Dones de Mauritània ""Soninkara Remu""","+34 972  27 42 77","cooperacio@olot.cat","","interculturalitat i migració","social_facility","woman","Generalitat de Catalunya","2019-03-29",617,"Carrer Proa","16",NA,"1",NA,"17800","Olot",NA,"42,182428779","2,492338945"
"263","Associació de Dones de Miravet","+34 977 40 71 34","donesmiravet@gmail.com","","artesania; lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",973,"Plaça Major","1",NA,NA,NA,"43747","Miravet",NA,"0","0"
"264","Associació de Dones de Montbrió del Camp","+34 699344520","montserrat.matas@gmail.com","","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",882,"Carrer Doctor Gener","3",NA,NA,NA,"43340","Montbrió del Camp",NA,"0","0"
"265","Associació de dones de Montesquiu","+34 676 15 07 13","donesmontesquiu@gmail.com; marisoljn@gmail.com","http://www.montesquiu.cat/","promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",384,"Plaça Emili Juncadella","1-2",NA,NA,NA,"08585","Montesquiu",NA,"0","0"
"266","Associació de Dones de Montmajor","+34 93 824 60 41","","","lleure; món rural; promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",386,"Plaça del Mercat","1",NA,NA,NA,"08612","Montmajor",NA,"42,0177071","1,7353648"
"267","Associació de Dones de Móra d'Ebre","+34 630 138 904","associaciomoradebredones@gmail.com","","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",970,"Avinguda de les Comarques Catalanes","61",NA,"2",NA,"43740","Móra d'Ebre",NA,"0","0"
"268","Associació de Dones de Muntanyola","+34 93 813 70 66","carmejuarez@interausa.com; msalomb@ub.edu","","cultura i arts; món rural; promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",369,NA,NA,NA,NA,"Mas Serra-Rica","08505","Muntanyola",NA,"41,912209784","2,160834505"
"269","Associació de Dones de Navarcles","+34 93 831 02 32","associaciodonesdenavarcles@gmail.com","","lleure; promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",313,"Carrer Ubac","45",NA,NA,NA,"08270","Navarcles",NA,"41,750039411","1,89874704"
"270","Associació de Dones de Planoles","+34 ","","","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",611,"Plaça de l'Ajuntament","1",NA,NA,NA,"17535","Planoles",NA,"0","0"
"271","Associació de Dones de Poboleda","+34 977 82 70 94","adonespoboleda@hotmail.com","","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",893,"Carrer Major","21",NA,NA,NA,"43376","Poboleda",NA,"41,234068815","0,845172445"
"272","Associació de Dones de Pratdip","+34 977 56 62 42","","","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",879,"Avinguda Catalunya","7",NA,NA,NA,"43320","Pratdip",NA,"41,051543696","0,871559617"
"273","Associació de Dones de Preixens","+34 682524902","lolapreixens@hotmail.es","","artesania; lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",755,"Plaça de l'Esglèsia de Preixens","1",NA,NA,NA,"25316","Preixens",NA,"0","0"
"274","Associació de Dones de Prullans","+34 627448170","associaciodonesprullans@gmail.com","","cultura i arts; lleure; promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",814,"Carrer Puig","7",NA,"2",NA,"25727","Prullans",NA,"42,377873643","1,738586814"
"275","Associació de Dones de Puigcerver","+34 691417001","dones.puigcerver@hotmail.com","","artesania; lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",897,"Plaça Major","1",NA,NA,"Ajuntament vell","43390","Riudecols",NA,"0","0"
"276","Associació de Dones de Puigpelat Orquídia","+34 615354490","associaciodonespuigpelat@gmail.com","","lleure; promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",1007,"Plaça de la Vila","14",NA,NA,NA,"43812","Puigpelat",NA,"41,2798625","1,296901853"
"277","Associació de Dones de Quart ""Amb ulls de dona""","+34 607765597","ambullsdedona@gmail.com","http://ambullsdedona.blogspot.com/","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",576,"Carrer del Tren","49",NA,NA,NA,"17242","Quart",NA,"41,938715373","2,838087718"
"278","Associació de Dones de Rasquera","+34 616 631 084","ass.dones.2010@gmail.com","","cultura i arts; lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",930,"Carrer de Tortosa","16",NA,NA,NA,"43513","Rasquera",NA,"41,001420272","0,596766965"
"279","Associació de Dones de Rialp","+34 689203960","ares_ab@hotmail.com","","cultura i arts; lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",790,"Plaça del Tornall","1",NA,NA,NA,"25594","Rialp",NA,"42,4439237","1,135774111"
"280","Associació de Dones de Riba-roja d'Ebre","+34 977 41 60 03","","","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",997,"Carrer Major","31",NA,NA,NA,"43790","Riba-roja d'Ebre",NA,"41,25074174","0,487238906"
"281","Associació de Dones de Ripoll","+34 627 442 343","assdonesripoll@hotmail.com","","lleure; promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",607,NA,NA,NA,NA,"Sala Eudald Graells","17500","Ripoll",NA,"42,18972012","2,217239761"
"282","Associació de Dones de Roquetes","+34 663703885","atorregil@hotmail.com","","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",936,"Urbanització Torre d'en Gil","s/n",NA,NA,"Centre Cívic  Ortuella","43520","Roquetes",NA,"0","0"
"283","Associació de Dones de Sant Boi","+34 93 652 16 93","donessantboi@hotmail.com","","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",441,"Carrer Miquel","2",NA,NA,"Casal del Barri de Marianao","08830","Sant Boi de Llobregat",NA,"41,345825869","2,031939656"
"284","Associació de Dones de Sant Genís dels Agudells","+34 93 418 65 31","cccasagroga@qsl.cat","http://www.cccasagroga.cat","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",218,"Avinguda del Jordà","27",NA,NA,"Centre Cívic Casa Groga","08035","Barcelona",NA,"41,396739796","2,120919282"
"285","Associació de Dones de Sant Joan de les Abadesses","+34 627 79 39 15","adones.sjabadesses@gmail.com","","lleure; promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",625,"Carrer Mare de Déu del Prat","1",NA,"5",NA,"17860","Sant Joan de les Abadesses",NA,"0","0"
"286","Associació de Dones de Sant Josep","+34 93 145 73 60","assocdonessj@gmail.com","","lleure; promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",462,"Carrer Galvany","15-17",NA,NA,NA,"08901","L'Hospitalet de Llobregat",NA,"41,36408754","2,1091677"
"287","Associació de Dones de Sant Sadurní","+34 93 818 42 24","ssdoness@hotmail.com","http://dones.santsadurni.cat/","lleure; promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",423,"Carrer de Marc Mir","15",NA,NA,"Casal d'Entitats","08770","Sant Sadurní d'Anoia",NA,"41,4241445","1,789244"
"288","Associació de Dones de Santa Oliva Sol Ixent","+34 977 67 97 51","","","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",961,"Carrer Torres i Bages","24",NA,NA,NA,"43710","Santa Oliva",NA,"41,253702284","1,550041632"
"289","Associació de Dones de Sarroca de Lleida","+34 620808348","adsarrocadelleida@gmail.com","","drets humans i cooperació; lleure; promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",699,"Carrer Monsenyor Vilaplana","30",NA,NA,NA,"25175","Sarroca de Lleida",NA,"41,458553759","0,56095958"
"290","Associació de Dones de Sidamon","+34 649267683","associaciodedonesdesidamon@gmail.com","","cultura i arts; lleure; món rural","social_facility","woman","Generalitat de Catalunya","2019-03-29",729,"Carrer Balmes","22",NA,NA,NA,"25222","Sidamon",NA,"41,629273143","0,830649863"
"291","Associació de Dones de Sitges","+34 93 894 73 36","donessitges@gmail.com","","lleure","social_facility","woman","Generalitat de Catalunya","2019-03-29",457,"Plaça Catalunya","s/n",NA,NA,"Centre Cívic del Poble Sec","08870","Sitges",NA,"0","0"
"292","Associació de Dones de Sudanell","+34 661 861 226","associaciodedonessudanell@gmail.com","http://associaciodonessudanell.blogspot.com.es/","lleure; promoció d'actitats i reivindicació dels drets de les dones","social_facility","woman","Generalitat de Catalunya","2019-03-29",697,"Carrer Segre","1",NA,"3",NA,"25173","Sudanell",NA,"41,557013422","0,566491828"
